frame,time_s,found,x_in,y_in,heading_deg
0,0.0000,1,-4.690,20.788,-172.83
1,0.0167,1,-4.690,20.788,-172.83
2,0.0334,1,-4.690,20.788,-172.83
3,0.0501,1,-4.690,20.788,-172.83
4,0.0667,1,-4.690,20.788,-172.83
5,0.0834,1,-4.690,20.788,-172.83
6,0.1001,1,-4.690,20.788,-172.83
7,0.1168,1,-4.690,20.788,-172.83
8,0.1335,1,-4.690,20.788,-172.83
9,0.1502,1,-4.690,20.788,-172.83
10,0.1668,1,-4.690,20.788,-172.83
11,0.1835,1,-4.690,20.788,-172.83
12,0.2002,1,-4.690,20.788,-172.83
13,0.2169,1,-4.690,20.788,-172.83
14,0.2336,1,-4.690,20.788,-172.83
15,0.2503,1,-4.690,20.788,-172.83
16,0.2669,1,-4.690,20.788,-172.83
17,0.2836,1,-4.690,20.788,-172.83
18,0.3003,1,-4.690,20.788,-172.83
19,0.3170,1,-4.702,20.787,-172.82
20,0.3337,1,-4.702,20.787,-172.82
21,0.3503,1,-4.702,20.787,-172.82
22,0.3670,1,-4.702,20.787,-172.82
23,0.3837,1,-4.702,20.787,-172.82
24,0.4004,1,-4.702,20.787,-172.82
25,0.4171,1,-4.702,20.787,-172.82
26,0.4338,1,-4.702,20.787,-172.82
27,0.4505,1,-4.702,20.787,-172.82
28,0.4671,1,-4.702,20.787,-172.82
29,0.4838,1,-4.702,20.787,-172.82
30,0.5005,1,-4.702,20.787,-172.82
31,0.5172,1,-4.702,20.787,-172.82
32,0.5339,1,-4.702,20.787,-172.82
33,0.5505,1,-4.702,20.787,-172.82
34,0.5672,1,-4.702,20.787,-172.82
35,0.5839,1,-4.702,20.787,-172.82
36,0.6006,1,-4.702,20.787,-172.82
37,0.6173,1,-4.702,20.787,-172.82
38,0.6340,1,-4.702,20.787,-172.82
39,0.6507,1,-4.702,20.787,-172.82
40,0.6673,1,-4.702,20.787,-172.82
41,0.6840,1,-4.702,20.787,-172.82
42,0.7007,1,-4.702,20.787,-172.82
43,0.7174,1,-4.702,20.787,-172.82
44,0.7341,1,-4.702,20.787,-172.82
45,0.7508,1,-4.702,20.787,-172.82
46,0.7674,1,-4.702,20.787,-172.82
47,0.7841,1,-4.702,20.787,-172.82
48,0.8008,1,-4.702,20.787,-172.82
49,0.8175,1,-4.702,20.787,-172.82
50,0.8342,1,-4.702,20.787,-172.82
51,0.8508,1,-4.702,20.787,-172.82
52,0.8675,1,-4.702,20.787,-172.82
53,0.8842,1,-4.702,20.787,-172.82
54,0.9009,1,-4.702,20.787,-172.82
55,0.9176,1,-4.702,20.787,-172.82
56,0.9343,1,-4.702,20.787,-172.82
57,0.9509,1,-4.702,20.787,-172.82
58,0.9676,1,-4.702,20.787,-172.82
59,0.9843,1,-4.702,20.787,-172.82
60,1.0010,1,-4.702,20.787,-172.82
