frame,time_s,found,x_in,y_in,heading_deg
0,0.0000,1,14.057,5.905,-96.56
1,0.0167,1,14.057,5.905,-96.56
2,0.0334,1,14.057,5.905,-96.56
3,0.0501,1,14.057,5.905,-96.56
4,0.0667,1,14.057,5.905,-96.56
5,0.0834,1,14.057,5.905,-96.55
6,0.1001,1,14.057,5.906,-96.55
7,0.1168,1,14.057,5.906,-96.55
8,0.1335,1,14.058,5.906,-96.55
9,0.1502,1,14.060,5.909,-96.59
10,0.1668,1,14.072,5.940,-96.04
11,0.1835,1,14.084,5.991,-96.09
12,0.2002,1,14.102,6.101,-95.99
13,0.2169,1,14.124,6.320,-96.07
14,0.2336,1,14.148,6.579,-96.04
15,0.2503,1,14.182,6.927,-96.02
16,0.2669,1,14.223,7.354,-96.08
17,0.2836,1,14.277,7.855,-95.97
18,0.3003,1,14.333,8.431,-95.99
19,0.3170,1,14.394,9.061,-95.94
20,0.3337,1,14.452,9.766,-95.61
33,0.5505,1,16.399,21.070,-84.35
34,0.5672,1,16.666,21.758,-81.39
35,0.5839,1,16.960,22.457,-78.31
111,1.8518,1,-3.451,-0.245,65.45
112,1.8685,1,-3.728,-0.901,65.16
113,1.8852,1,-3.938,-1.528,64.03
114,1.9019,1,-4.083,-2.131,62.22
115,1.9186,1,-4.190,-2.741,59.75
116,1.9353,1,-4.228,-3.345,56.45
117,1.9520,1,-4.233,-3.940,52.89
118,1.9686,1,-4.200,-4.551,48.83
119,1.9853,1,-4.113,-5.180,44.29
120,2.0020,1,-4.013,-5.807,39.25
121,2.0187,1,-3.871,-6.478,33.55
122,2.0354,1,-3.713,-7.172,27.75
123,2.0520,1,-3.579,-7.885,21.74
124,2.0687,1,-3.425,-8.636,15.03
125,2.0854,1,-3.291,-9.405,8.35
126,2.1021,1,-3.196,-10.212,1.77
127,2.1188,1,-3.166,-10.986,-4.80
128,2.1355,1,-3.174,-11.742,-10.78
129,2.1522,1,-3.243,-12.477,-16.43
130,2.1688,1,-3.365,-13.160,-21.97
131,2.1855,1,-3.526,-13.803,-26.96
132,2.2022,1,-3.732,-14.420,-32.00
133,2.2189,1,-3.966,-14.969,-36.15
134,2.2356,1,-4.203,-15.440,-39.46
135,2.2523,1,-4.445,-15.838,-42.10
136,2.2689,1,-4.701,-16.161,-44.40
137,2.2856,1,-4.990,-16.387,-46.41
138,2.3023,1,-5.325,-16.536,-48.09
139,2.3190,1,-5.684,-16.620,-49.97
140,2.3357,1,-6.087,-16.628,-51.82
141,2.3523,1,-6.513,-16.554,-53.28
142,2.3690,1,-6.937,-16.449,-54.66
143,2.3857,1,-7.370,-16.273,-56.07
144,2.4024,1,-7.848,-16.009,-57.20
145,2.4191,1,-8.330,-15.692,-58.37
146,2.4358,1,-8.838,-15.313,-59.66
147,2.4525,1,-9.367,-14.849,-60.61
148,2.4691,1,-9.887,-14.349,-61.56
149,2.4858,1,-10.422,-13.778,-62.53
178,2.9696,1,-24.504,11.210,-68.82
179,2.9863,1,-24.872,11.597,-70.68
180,3.0030,1,-25.224,11.935,-72.74
181,3.0197,1,-25.578,12.228,-75.30
182,3.0364,1,-26.008,12.480,-78.86
183,3.0531,1,-26.454,12.705,-82.58
184,3.0697,1,-26.906,12.911,-86.89
185,3.0864,1,-27.425,13.112,-91.60
186,3.1031,1,-27.955,13.298,-96.42
187,3.1198,1,-28.512,13.521,-102.17
188,3.1365,1,-29.103,13.760,-108.00
189,3.1532,1,-29.722,14.045,-114.52
190,3.1698,1,-30.327,14.363,-120.86
191,3.1865,1,-30.912,14.708,-127.09
192,3.2032,1,-31.461,15.110,-133.56
193,3.2199,1,-31.961,15.511,-139.00
194,3.2366,1,-32.392,15.942,-144.66
195,3.2532,1,-32.768,16.353,-149.65
196,3.2699,1,-33.106,16.773,-154.35
197,3.2866,1,-33.392,17.184,-158.92
198,3.3033,1,-33.658,17.578,-163.41
199,3.3200,1,-33.888,17.977,-167.66
200,3.3367,1,-34.090,18.352,-171.88
201,3.3534,1,-34.257,18.717,-175.82
202,3.3700,1,-34.405,19.060,-179.59
203,3.3867,1,-34.533,19.397,176.98
204,3.4034,1,-34.641,19.709,173.86
205,3.4201,1,-34.737,20.005,170.42
206,3.4368,1,-34.818,20.274,167.25
207,3.4535,1,-34.884,20.528,164.31
208,3.4701,1,-34.948,20.771,161.76
209,3.4868,1,-35.005,20.985,159.13
210,3.5035,1,-35.062,21.180,156.83
211,3.5202,1,-35.112,21.342,155.00
212,3.5369,1,-35.151,21.455,153.72
213,3.5535,1,-35.164,21.509,153.14
214,3.5702,1,-35.157,21.508,152.88
215,3.5869,1,-35.116,21.473,152.99
216,3.6036,1,-35.021,21.409,153.24
217,3.6203,1,-34.853,21.318,153.19
218,3.6370,1,-34.619,21.204,153.04
219,3.6537,1,-34.328,21.047,153.18
220,3.6703,1,-33.965,20.876,153.12
221,3.6870,1,-33.540,20.675,153.02
274,4.5712,1,12.867,-2.289,158.47
275,4.5879,1,13.439,-2.600,159.20
276,4.6046,1,13.937,-2.905,160.20
277,4.6213,1,14.368,-3.208,161.48
