frame,time_s,found,x_in,y_in,heading_deg
0,0.0000,1,13.941,6.694,-92.58
1,0.0167,1,13.940,6.694,-92.62
2,0.0334,1,13.940,6.695,-92.59
3,0.0501,1,13.940,6.695,-92.52
4,0.0667,1,13.940,6.696,-92.53
5,0.0834,1,13.940,6.696,-92.53
6,0.1001,1,13.940,6.695,-92.53
7,0.1168,1,13.940,6.694,-92.53
8,0.1335,1,13.939,6.694,-92.52
9,0.1502,1,13.938,6.695,-92.53
10,0.1668,1,13.938,6.695,-92.54
11,0.1835,1,13.938,6.694,-92.54
12,0.2002,1,13.938,6.695,-92.54
13,0.2169,1,13.938,6.695,-92.54
14,0.2336,1,13.938,6.695,-92.54
15,0.2503,1,13.938,6.695,-92.54
16,0.2669,1,13.937,6.695,-92.54
17,0.2836,1,13.937,6.695,-92.58
18,0.3003,1,13.938,6.694,-92.52
19,0.3170,1,13.938,6.694,-92.51
20,0.3337,1,13.937,6.692,-92.57
21,0.3503,1,13.938,6.689,-92.52
22,0.3670,1,13.938,6.691,-92.52
23,0.3837,1,13.938,6.694,-92.55
24,0.4004,1,13.938,6.694,-92.51
25,0.4171,1,13.938,6.694,-92.55
26,0.4338,1,13.937,6.692,-92.56
27,0.4505,1,13.937,6.691,-92.56
28,0.4671,1,13.938,6.691,-92.52
29,0.4838,1,13.937,6.691,-92.56
30,0.5005,1,13.938,6.691,-92.52
31,0.5172,1,13.937,6.691,-92.56
32,0.5339,1,13.938,6.691,-92.58
33,0.5505,1,13.938,6.692,-92.58
34,0.5672,1,13.938,6.692,-92.55
35,0.5839,1,13.938,6.692,-92.58
36,0.6006,1,13.938,6.692,-92.58
37,0.6173,1,13.938,6.692,-92.58
38,0.6340,1,13.938,6.692,-92.58
39,0.6507,1,13.938,6.692,-92.58
40,0.6673,1,13.938,6.692,-92.58
41,0.6840,1,13.938,6.692,-92.58
42,0.7007,1,13.938,6.692,-92.58
43,0.7174,1,13.938,6.692,-92.58
44,0.7341,1,13.937,6.692,-92.54
45,0.7508,1,13.937,6.692,-92.54
46,0.7674,1,13.937,6.693,-92.56
47,0.7841,1,13.939,6.717,-92.54
48,0.8008,1,13.942,6.764,-92.55
49,0.8175,1,13.950,6.833,-92.56
50,0.8342,1,13.954,6.944,-92.47
51,0.8508,1,13.958,7.084,-92.46
52,0.8675,1,13.968,7.242,-92.54
53,0.8842,1,13.976,7.418,-92.50
54,0.9009,1,13.986,7.610,-92.40
55,0.9176,1,13.996,7.812,-92.51
56,0.9343,1,14.009,8.028,-92.35
57,0.9509,1,14.027,8.249,-92.26
58,0.9676,1,14.045,8.487,-92.16
59,0.9843,1,14.060,8.720,-92.19
60,1.0010,1,14.082,8.963,-92.26
61,1.0177,1,14.099,9.207,-92.13
